0,1,2
1811.034,1,3970954
1812.856,1,3967578
1814.678,1,3965255
1816.500,1,3964061
1818.321,1,3961533
1820.142,1,3958940
1821.962,1,3959588
1823.782,1,3955991
1825.602,1,3953223
1827.421,1,3954329
1829.239,1,3952599
1831.058,1,3949464
1832.875,1,3948662
1834.693,1,3950387
1836.510,1,3947352
1838.327,1,3945315
1840.143,1,3944996
1841.959,1,3943897
1843.774,1,3942323
1845.589,1,3941936
1847.403,1,3940859
1849.217,1,3938231
1851.031,1,3938554
1852.844,1,3938742
1854.657,1,3935374
1856.470,1,3934398
1858.282,1,3935913
1860.093,1,3932826
1861.905,1,3932106
1863.716,1,3934158
1865.526,1,3934551
1867.336,1,3931971
1869.146,1,3933826
1870.955,1,3933107
1872.763,1,3932602
1874.572,1,3931830
1876.380,1,3932397
1878.187,1,3933388
1879.994,1,3932661
1881.801,1,3932063
1883.607,1,3931907
1885.413,1,3931519
1887.219,1,3933100
1889.024,1,3934078
1890.828,1,3929351
1892.633,1,3933118
1894.436,1,3933206
1896.240,1,3936564
1898.043,1,3937732
1899.845,1,3936074
1901.648,1,3937914
1903.449,1,3939557
1905.251,1,3940865
1907.052,1,3940442
1908.852,1,3943034
1910.652,1,3942503
1912.452,1,3942136
1914.251,1,3940711
1916.050,1,3940947
1917.849,1,3939638
1919.647,1,3941265
1921.445,1,3939711
1923.242,1,3941471
1925.039,1,3941979
1926.835,1,3946251
1928.631,1,3949220
1930.427,1,3953291
1932.222,1,3955188
1934.017,1,3957043
1935.811,1,3954482
1937.605,1,3953573
1939.399,1,3955799
1941.192,1,3956325
1942.985,1,3956368
1944.777,1,3957562
1946.569,1,3961400
1948.361,1,3962032
1950.152,1,3964773
1951.943,1,3967036
1953.733,1,3966314
1955.523,1,3970739
1957.313,1,3972460
1959.102,1,3973627
1960.891,1,3974160
1962.679,1,3978953
1964.467,1,3979823
1966.254,1,3983706
1968.041,1,3985552
1969.828,1,3986550
1971.614,1,3989883
1973.400,1,3993560
1975.186,1,3997151
1976.971,1,3997984
1978.756,1,4001244
1980.540,1,4006011
1982.324,1,4007100
1984.107,1,4011484
1985.890,1,4013676
1987.673,1,4016070
1989.455,1,4020500
1991.237,1,4023549
1993.019,1,4025522
1994.800,1,4029161
1996.580,1,4032442
1998.361,1,4034518
2000.141,1,4038770
2001.920,1,4042088
2003.699,1,4043313
2005.478,1,4046100
2007.256,1,4051824
2009.034,1,4052963
2010.811,1,4056344
2012.588,1,4059023
2014.365,1,4064202
2016.141,1,4065044
2017.917,1,4068501
2019.692,1,4071896
2021.468,1,4075340
2023.242,1,4079595
2025.016,1,4079923
2026.790,1,4086598
2028.564,1,4087558
2030.337,1,4092104
2032.109,1,4094678
2033.882,1,4098853
2035.653,1,4102728
2037.425,1,4106459
2039.196,1,4109036
2040.967,1,4114644
2042.737,1,4117639
2044.507,1,4121601
2046.276,1,4121970
2048.045,1,4124767
2049.814,1,4125492
2051.582,1,4128838
2053.350,1,4129512
2055.117,1,4131205
2056.884,1,4134425
2058.651,1,4136241
2060.417,1,4139997
2062.183,1,4144065
2063.949,1,4147173
2065.714,1,4149305
2067.479,1,4149465
2069.243,1,4153662
2071.007,1,4152003
2072.770,1,4155229
2074.533,1,4153775
2076.296,1,4158004
2078.058,1,4161322
2079.820,1,4160079
2081.582,1,4163312
2083.343,1,4167112
2085.103,1,4169376
2086.864,1,4176058
2088.624,1,4180083
2090.383,1,4181132
2092.142,1,4183084
2093.901,1,4186240
2095.659,1,4185916
2097.417,1,4185938
2099.175,1,4184092
2100.932,1,4184257
2102.689,1,4178587
2104.445,1,4182954
2106.201,1,4186066
2107.957,1,4185796
